Start,End,Duration
BUKIT PANJANG MRT STATION,CASHEW MRT STATION,2
CASHEW MRT STATION,HILLVIEW MRT STATION,2
HILLVIEW MRT STATION,BEAUTY WORLD MRT STATION,3
BEAUTY WORLD MRT STATION,KING ALBERT PARK MRT STATION,2
KING ALBERT PARK MRT STATION,SIXTH AVENUE MRT STATION,2
SIXTH AVENUE MRT STATION,TAN KAH KEE MRT STATION,2
TAN KAH KEE MRT STATION,BOTANIC GARDENS MRT STATION,2
BOTANIC GARDENS MRT STATION,STEVENS MRT STATION,2
STEVENS MRT STATION,NEWTON MRT STATION,2
NEWTON MRT STATION,LITTLE INDIA MRT STATION,3
LITTLE INDIA MRT STATION,ROCHOR MRT STATION,1
ROCHOR MRT STATION,BUGIS MRT STATION,2
BUGIS MRT STATION,PROMENADE MRT STATION,2
PROMENADE MRT STATION,BAYFRONT MRT STATION,2
BAYFRONT MRT STATION,DOWNTOWN MRT STATION,2
DOWNTOWN MRT STATION,TELOK AYER MRT STATION,1
TELOK AYER MRT STATION,CHINATOWN MRT STATION,2
CHINATOWN MRT STATION,FORT CANNING MRT STATION,2
FORT CANNING MRT STATION,BENCOOLEN MRT STATION,2
BENCOOLEN MRT STATION,JALAN BESAR MRT STATION,1
JALAN BESAR MRT STATION,BENDEMEER MRT STATION,2
BENDEMEER MRT STATION,GEYLANG BAHRU MRT STATION,2
GEYLANG BAHRU MRT STATION,MATTAR MRT STATION,2
MATTAR MRT STATION,MACPHERSON MRT STATION,2
MACPHERSON MRT STATION,UBI MRT STATION,2
UBI MRT STATION,KAKI BUKIT MRT STATION,2
KAKI BUKIT MRT STATION,BEDOK NORTH MRT STATION,2
BEDOK NORTH MRT STATION,BEDOK RESERVOIR MRT STATION,2
BEDOK RESERVOIR MRT STATION,TAMPINES WEST MRT STATION,3
TAMPINES WEST MRT STATION,TAMPINES MRT STATION,2
TAMPINES MRT STATION,TAMPINES EAST MRT STATION,2
TAMPINES EAST MRT STATION,UPPER CHANGI MRT STATION,3
UPPER CHANGI MRT STATION,EXPO MRT STATION,2
HARBOURFRONT MRT STATION,OUTRAM PARK MRT STATION,4
OUTRAM PARK MRT STATION,CHINATOWN MRT STATION,1
CHINATOWN MRT STATION,CLARKE QUAY MRT STATION,2
CLARKE QUAY MRT STATION,DHOBY GHAUT MRT STATION,3
DHOBY GHAUT MRT STATION,LITTLE INDIA MRT STATION,1
LITTLE INDIA MRT STATION,FARRER PARK MRT STATION,1
FARRER PARK MRT STATION,BOON KENG MRT STATION,2
BOON KENG MRT STATION,POTONG PASIR MRT STATION,3
